cluster_id,R_eta,n_pairs,tokens_en
globalvoices-v2018q4-doc-a220d461c6e8c0d4,0.9621456558707849,5,167.0
globalvoices-v2018q4-doc-a2fe6041323cf116,0.8816503245983535,18,499.0
globalvoices-v2018q4-doc-a4b96b38d42f3d06,0.7632007302758771,48,1210.0
globalvoices-v2018q4-doc-a5fc6d1a01d239d9,0.9927000774190932,12,336.0
globalvoices-v2018q4-doc-a740cd85f21dd522,0.9231925547420207,15,492.0
globalvoices-v2018q4-doc-a7ca72d2ca3d3a1d,0.9711802337002959,30,787.0
globalvoices-v2018q4-doc-a895016aa8c993bb,0.8475014994101031,50,980.0
globalvoices-v2018q4-doc-a95642ee6df83238,0.8932413708221872,35,780.0
globalvoices-v2018q4-doc-a9637f04b2e1fe33,0.9612046054355303,41,1051.0
globalvoices-v2018q4-doc-a98c3e00c76fc02c,0.9557271890104395,17,510.0
globalvoices-v2018q4-doc-aa0a7cf379245fd3,0.9069326841017469,56,1030.0
globalvoices-v2018q4-doc-aaaa7e833a670da8,0.9466257917710819,26,587.0
globalvoices-v2018q4-doc-abf7bc42e1684fbe,0.9904987253376326,34,1112.0
globalvoices-v2018q4-doc-ac386829bd8d713e,1.025798588038463,10,207.0
globalvoices-v2018q4-doc-ac781d1dea1f2aa5,0.9681322514477735,3,74.0
globalvoices-v2018q4-doc-ac7b5ba2b712f7b2,0.9059997342485475,5,141.0
globalvoices-v2018q4-doc-ae2e4a7bcee58410,1.0087925091275152,12,254.0
globalvoices-v2018q4-doc-ae334a1c8ef29e84,0.9660259915549508,26,650.0
globalvoices-v2018q4-doc-b03045db4f71a033,0.8891613247312932,5,122.0
globalvoices-v2018q4-doc-b06e1d910b17a536,0.9822114386446933,46,1008.0
globalvoices-v2018q4-doc-b0806d53a2ba7e9e,1.1414080085999365,4,80.0
globalvoices-v2018q4-doc-b09dbc21b44041bd,0.9535392272501126,21,482.0
globalvoices-v2018q4-doc-b0b06a8d5fa3df11,1.3967798914858578,1,3.0
globalvoices-v2018q4-doc-b19df69ea47746a4,0.8864628171750781,18,487.0
globalvoices-v2018q4-doc-b19e62c6738d707d,1.0469116840517072,23,507.0
globalvoices-v2018q4-doc-b1c683729335e71b,0.9505116714109263,59,1320.0
globalvoices-v2018q4-doc-b23dfa7a261dbb17,0.9912298889158984,7,179.0
globalvoices-v2018q4-doc-b30b37f80fcb8584,1.0063931846906278,17,587.0
globalvoices-v2018q4-doc-b347e62c58b29c86,0.8949991646659172,18,459.0
globalvoices-v2018q4-doc-b5fcf6231b7d29e1,0.9191836724919079,15,360.0
globalvoices-v2018q4-doc-b898aa48643aed61,0.9517952631889025,44,837.0
globalvoices-v2018q4-doc-b91a20d6bedb9f0c,0.9990461931731548,63,1605.0
globalvoices-v2018q4-doc-b943f381313cac87,1.1922026816105196,9,335.0
globalvoices-v2018q4-doc-ba926200ebedbc5b,1.013397680750837,34,1063.0
globalvoices-v2018q4-doc-bade19a85844b62b,0.9351529525462161,5,131.0
globalvoices-v2018q4-doc-bdb38ed441165ceb,0.7130400281790568,4,103.0
globalvoices-v2018q4-doc-befe87f648abda9f,0.8783110174988303,58,1224.0
globalvoices-v2018q4-doc-bf4edf0246de544b,0.8098767747851087,6,249.0
globalvoices-v2018q4-doc-bfd217de09b0f2e2,1.1099675656887589,6,180.0
globalvoices-v2018q4-doc-c0b824954e737b6e,1.0040924239596705,26,575.0
globalvoices-v2018q4-doc-c11dbb3f897b0e48,0.8525366301095032,47,1142.0
globalvoices-v2018q4-doc-c25c190d32c656d5,0.8703366990299831,4,110.0
globalvoices-v2018q4-doc-c2772464129be191,0.8669302937180065,24,667.0
globalvoices-v2018q4-doc-c3579bafb497c779,0.9400564920628006,60,1581.0
globalvoices-v2018q4-doc-c448f2d5bce7af02,0.9665999855214562,3,98.0
globalvoices-v2018q4-doc-c47af85994ebd315,0.8148417823853558,11,235.0
globalvoices-v2018q4-doc-c4bfb68982a2a2cb,1.2066648141957108,7,199.0
globalvoices-v2018q4-doc-c556404cebfd7952,0.9251675478627619,21,592.0
globalvoices-v2018q4-doc-c63b49027c5b17ca,0.8676865268398333,45,889.0
globalvoices-v2018q4-doc-c742f1ca5cdb7ec0,0.812406019188187,5,123.0
globalvoices-v2018q4-doc-c76916854b22de98,0.9623770604683464,26,922.0
globalvoices-v2018q4-doc-c803dab7cfe447f6,0.9317973600762058,15,540.0
globalvoices-v2018q4-doc-c8aae90211ce3635,0.8663753254288632,3,123.0
globalvoices-v2018q4-doc-c9d6f9990d51e26f,1.0779216450613525,11,268.0
globalvoices-v2018q4-doc-c9e1e0c03061ec8d,0.8043968493159129,23,528.0
globalvoices-v2018q4-doc-c9febc590dd11aae,1.0024373100212332,28,745.0
globalvoices-v2018q4-doc-ca17a5f53f433385,0.9589659975846507,32,780.0
globalvoices-v2018q4-doc-cb78c90b00837183,1.0757726889665578,37,784.0
globalvoices-v2018q4-doc-cb8ae5e6241de3f9,0.9186652929388663,14,455.0
globalvoices-v2018q4-doc-cc3324c2baad3678,0.956936999125487,39,688.0
globalvoices-v2018q4-doc-cd399e4dff65bc72,0.9303266174856651,27,635.0
globalvoices-v2018q4-doc-cea788de2263cf30,0.9934396172322172,20,627.0
globalvoices-v2018q4-doc-cf52d52788e2fd39,0.7858067153195206,6,218.0
globalvoices-v2018q4-doc-d001769eb5974f18,0.7729114751955442,5,137.0
globalvoices-v2018q4-doc-d0ab40cbad7854ca,1.059434084290483,104,2173.0
globalvoices-v2018q4-doc-d122f15c20581e11,1.0021986215922292,18,402.0
globalvoices-v2018q4-doc-d1557879b75cce70,1.0411669854335757,37,817.0
globalvoices-v2018q4-doc-d270dbcd784a498f,0.9890078549721751,40,1189.0
globalvoices-v2018q4-doc-d299279aa421bddf,0.91757938915632,8,262.0
globalvoices-v2018q4-doc-d3e015c0aea10e49,0.8608820957864357,42,842.0
globalvoices-v2018q4-doc-d6f1dabfd6bb539b,0.9407689600297322,23,613.0
globalvoices-v2018q4-doc-d6fbda39b9081dd9,0.912998444808672,27,494.0
globalvoices-v2018q4-doc-d776f124238bf8cd,1.1944908882407408,5,253.0
globalvoices-v2018q4-doc-d8490e8d4ddb8830,0.9993138443314274,7,184.0
globalvoices-v2018q4-doc-d8c15886511a8a4c,0.8134179551720452,16,266.0
globalvoices-v2018q4-doc-daee0e262298d4f1,0.9632382725123482,35,861.0
globalvoices-v2018q4-doc-db02808c1377adce,0.9046532204961794,21,552.0
globalvoices-v2018q4-doc-dbaac5dded087c04,0.9629907455025807,29,708.0
globalvoices-v2018q4-doc-dd12737a3bf1c718,0.9239669527699393,40,1210.0
globalvoices-v2018q4-doc-dfae4da527e6871f,0.9441512983548251,18,383.0
globalvoices-v2018q4-doc-e227b354ceaf0a23,1.0777247128076382,11,448.0
globalvoices-v2018q4-doc-e3992911306d632e,0.8725871049406957,13,399.0
globalvoices-v2018q4-doc-e3a24832ba0c9808,0.9511455875185993,40,855.0
globalvoices-v2018q4-doc-e3d5d1c752b1b81c,0.9481789803065607,22,639.0
globalvoices-v2018q4-doc-e53affb068ce8f7c,0.8741876622910152,7,173.0
globalvoices-v2018q4-doc-e6b3cb92f8e30d04,1.0012550342098712,17,382.0
globalvoices-v2018q4-doc-e7767633fbdab88d,0.9701070187668784,73,1693.0
globalvoices-v2018q4-doc-e81a1ec7da310864,1.0255320144189333,61,1832.0
globalvoices-v2018q4-doc-e87ec3560ffaaae9,0.8847273121360703,44,987.0
globalvoices-v2018q4-doc-eb0279fe87c10a10,0.9107510181652501,22,454.0
globalvoices-v2018q4-doc-eb59e0b5f5f98038,0.8770525745914609,47,863.0
globalvoices-v2018q4-doc-eccc7ee7bbf350bc,0.923462968299096,36,766.0
globalvoices-v2018q4-doc-ed682a990f8df7d4,0.9217513716515958,20,691.0
globalvoices-v2018q4-doc-ee481e92febf0e69,0.8627272349113514,7,207.0
globalvoices-v2018q4-doc-ee785ff2de69da33,0.9351510762501477,38,1160.0
globalvoices-v2018q4-doc-eec983bd2117c83f,0.9449716717787802,38,904.0
globalvoices-v2018q4-doc-f012db31788f662e,0.8955047289556832,9,188.0
globalvoices-v2018q4-doc-f0c4662bb7e44758,1.076160820323423,6,161.0
globalvoices-v2018q4-doc-f0d50ba8aafdbb32,0.9481531319947689,14,341.0
globalvoices-v2018q4-doc-f226b6950639b55e,0.8783179374487848,23,764.0
globalvoices-v2018q4-doc-f2b7df080e8d8dc0,0.8800229966809638,60,866.0
globalvoices-v2018q4-doc-f3e2bd226979192c,0.9564651825466416,64,1430.0
